2021-12-13 00:12:701 INFO  AccountPage :68 - clicking on : [[ChromeDriver: chrome on WINDOWS (2b6b8623caf24101f94e6aeba7d122bc)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:838 INFO  AccountPage :81 - clicking on : [[ChromeDriver: chrome on WINDOWS (2b6b8623caf24101f94e6aeba7d122bc)] -> xpath: //button[contains(text(),'Withdrawl')]]
2021-12-13 00:12:925 INFO  AccountPage :86 - Entering amount : [[ChromeDriver: chrome on WINDOWS (2b6b8623caf24101f94e6aeba7d122bc)] -> xpath: //input[@placeholder='amount']]
2021-12-13 00:12:10 INFO  AccountPage :92 - clicking on : [[ChromeDriver: chrome on WINDOWS (2b6b8623caf24101f94e6aeba7d122bc)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:603 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:76 INFO  HomePage :30 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-12-13 00:12:745 INFO  CustomerLoginPage :32 - select your name: [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //select[@id='userSelect']]
2021-12-13 00:12:869 INFO  CustomerLoginPage :37 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:802 INFO  AccountPage :57 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[contains(text(),'Deposit')]]
2021-12-13 00:12:225 INFO  AccountPage :62 -  entering amount : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //input[@placeholder='amount']]
2021-12-13 00:12:340 INFO  AccountPage :68 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:444 INFO  AccountPage :81 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[contains(text(),'Withdrawl')]]
2021-12-13 00:12:528 INFO  AccountPage :86 - Entering amount : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //input[@placeholder='amount']]
2021-12-13 00:12:698 INFO  AccountPage :92 - clicking on : [[ChromeDriver: chrome on WINDOWS (29a02a48df82f6f8e2a519e1034cc21c)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:52 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:845 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:766 INFO  HomePage :30 - clicking on : [[ChromeDriver: chrome on WINDOWS (f03b74709895db3a7b4069809cd624d4)] -> xpath: //button[contains(text(),'Customer Login')]]
